名称,评论数,人均价格,类别,商圈,地址,推荐1,推荐2,推荐3,口味评分,环境评分,服务评分,星级,店铺ID,网址
极炙·台灣精致炭火烤肉,3551,211元,日本料理,天河城/体育中心,天河路178-188号新天河宾馆院内综合楼3楼,极上和牛套餐,特选牛舌,元贝,9.1,8.5,9.2,五星商户,66250176,http://www.dianping.com/shop/66250176
大滷爺(正佳店),151,54元,粤菜,天河城/体育中心,体育东路正佳广场五楼广正街,滷爺鹅肉饭,生蚝沙锅粥,卤水鹅肝饭,9.3,9.1,9.1,五星商户,id110266597,http://www.dianping.com/shop/110266597
白天鹅宾馆·玉堂春暖餐厅,2018,312元,粤菜,沙面,沙面南街1号白天鹅宾馆3楼,沙琪玛,葵花鸡,招牌虾饺,8.9,9.3,9,五星商户,id520094,http://www.dianping.com/shop/520094
Mr.Fish鱼鲜生海鲜放题(高德置地冬广场店),7703,354元,自助餐,高德置地/花城汇,珠江新城花城大道85号高德置地冬广场5楼507-512铺,刺身新鲜,新西兰鳌虾,燕窝哈根达斯雪糕,8.8,9,8.7,准五星商户,id32501719,http://www.dianping.com/shop/32501719
漫活堂·健康有机西餐厅(高志店),1174,148元,西餐,兴盛路/跑马场,黄埔大道西120号高志大厦首层107铺,低温慢煮牛小排,青苹果焦糖核桃沙拉,鲜虾墨鱼汁意大利面配参巴海鲜酱,9.1,9,9,五星商户,id76972044,http://www.dianping.com/shop/76972044
点都德(花城店),5424,88元,茶餐厅,珠江新城,花城大道16号,金沙红米肠,金牌鲜虾饺皇,百合蒸酱凤爪,9,8.9,8.4,准五星商户,id56985236,http://www.dianping.com/shop/56985236
点都德(骏和楼店),1393,79元,茶餐厅,市桥,市桥街捷进二路1号骏和广场三楼,金沙红米肠,金牌鲜虾饺皇,沙爹金钱肚,9.1,9,8.8,五星商户,id69100250,http://www.dianping.com/shop/69100250
松月自慢料理,1348,382元,日本料理,珠江新城,珠江西路15号珠江城大厦商业4层,生烤牛肉,刺身拼盘,牛油果虾手卷,9,9.3,9.1,五星商户,id92411666,http://www.dianping.com/shop/92411666
串八·炉端烧,70,178元,日本料理,兴盛路/跑马场,马场西路黄埔大道西668号马会酒店大堂内,牛舌,牛肉鹅肝卷,豚肉芦笋卷,9.3,9,9,五星商户,id98948970,http://www.dianping.com/shop/98948970
ZENHO天和割烹料理,508,528元,日本料理,珠江新城,花城大道665号翡丽商务大厦104单元,刺身拼盘,海胆,香煎鹅肝,9.1,9.3,9.3,五星商户,id76837516,http://www.dianping.com/shop/76837516
点都德·德誉楼,7492,75元,茶餐厅,北京路,中山四路246号信德大厦五楼,金牌虾饺皇,金沙红米肠,豉汁蒸凤爪,9,8.8,8.4,五星商户,id27162190,http://www.dianping.com/shop/27162190
大宅门火锅(珠江新城店),279,112元,火锅,珠江新城,珠江新城兴盛路兴盛汇三楼2-5号,冰粉,年销50万份极品空运鲜毛肚,绝味馋嘴蛙,8.4,8.8,8.3,准五星商户,id97677511,http://www.dianping.com/shop/97677511
隴熙火锅(天河北路店),2672,146元,火锅,天河城/体育中心,天河北路392号2楼,雪花牛肉,虾滑,极品鲜鹅肠,9,9.1,9,五星商户,id58456220,http://www.dianping.com/shop/58456220
QooQoo 韩式寿司,669,94元,自助餐,石牌/龙口,石牌东路31号石牌东商业大厦5楼,海鲜刺身,芝士烤虾寿司,柠檬烤虾寿司,8.9,9.1,9.1,五星商户,id90517645,http://www.dianping.com/shop/90517645
滋粥楼(南村店),5890,137元,粤菜,南村,南村镇兴南大道33号桥兴商务大厦2楼,油条,白贝,XO酱炒陈村粉,8.8,9,8.6,准五星商户,id13786811,http://www.dianping.com/shop/13786811
咖法森林·咖啡吧,612,67元,咖啡厅,天河北,林乐路侨林苑小区1期B座51-1室,酸奶慕斯,焦糖海盐摩卡,芒果慕斯,8.7,9.1,9,五星商户,id74601028,http://www.dianping.com/shop/74601028
德尚煌·六艺领鲜顺德菜(科学城分店),658,84元,粤菜,科学城,科学大道193号优托邦购物中心A座3楼,大锅炆山泉海鲩,红豆双皮奶,蜜汁叉烧,8.2,8.7,8.4,四星商户,id97505558,http://www.dianping.com/shop/97505558
HOTFINGERS海鸡(宝业路店),867,74元,韩国料理,江南西,宝业路26号,金枪鱼饭团,辣鸡爪,炸鸡翅,8.7,8.9,9.1,准五星商户,id90378983,http://www.dianping.com/shop/90378983
白天鹅宾馆流浮阁咖啡厅,4076,386元,自助餐,沙面,沙面南街1号白天鹅宾馆1楼,三文鱼刺身,法国焗蜗牛,冰岛生蚝,8.4,9.1,9,准五星商户,id519416,http://www.dianping.com/shop/519416
猫抓烤肉,623,87元,烧烤,北京路,北京路168号粤海仰忠汇六层,洋葱牛小粒,玫瑰牛舌,蒜香猪五花,8.6,8.8,9,准五星商户,id90256276,http://www.dianping.com/shop/90256276
廾穹概念中国菜(琶醍店),5963,159元,创意菜,琶洲,磨碟沙大街118-58号琶醍b区麦芽仓5仓,石烹雪花牛肉,液氮青椒螺片,雾凇脆皮豆腐,8.4,9.1,8.8,准五星商户,id38212967,http://www.dianping.com/shop/38212967
Malico西式简餐,591,55元,西餐,北京路,惠吉东路22号,malico芒果鸡肉卷,烟肉蘑菇意粉,莫吉托,8.9,8.1,8.7,准五星商户,id91886132,http://www.dianping.com/shop/91886132
ThePizzaFactory 披萨工坊(富力海珠城广场店),2110,70元,西餐,江南西,江南西路1号富力海珠城广场B区3层,意式特浓,腌制鸡翅,海底总动员披萨,8.9,9,9.1,五星商户,id67389609,http://www.dianping.com/shop/67389609
永恒养生蒸汽锅,648,111元,海鲜,市桥,番禺大道北795-797号,明虾,白贝,生蚝,9.2,8.2,9.1,五星商户,id24987365,http://www.dianping.com/shop/24987365
和苑酒家(时代店),1550,156元,粤菜,越秀公园,东风中路410号时代地产中心3-5楼,虾饺皇,竹筒龙虾粒手工面,陈醋木耳,8.9,9,9.1,准五星商户,id8019892,http://www.dianping.com/shop/8019892
白天鹅宾馆·宏图府餐厅,2331,205元,粤菜,沙面,沙面南街1号白天鹅宾馆2楼,羊城鲜虾饺,桂花糕,萨其马,8.7,9.2,9,五星商户,id520091,http://www.dianping.com/shop/520091
荔雅图 Li Chateau,1665,323元,西餐,天河城/体育中心,天河路228号正佳广场万豪酒店正门左手边负夹层,经典鸡肉凯撒沙拉,鹅肝双吃,黑松露烩饭,8.7,9.1,8.8,准五星商户,id18769937,http://www.dianping.com/shop/18769937
大猿日本料理(江南西店),5487,99元,日本料理,江南西,江南西路青竹大街14号104,大猿四季,陶瓮芝士大元贝,白吞拿拼阿根廷大虾刺身,8.8,8.7,9,准五星商户,id23076961,http://www.dianping.com/shop/23076961
渔意如意,344,97元,粤菜,滨江路,东晓路雅墩街1号,一鱼五食,金鲷刺身,鹅肝刺身,9,7.8,8,准五星商户,id67793856,http://www.dianping.com/shop/67793856
