店铺ID,公共交通,纬度,经度,行政区名称
id10002222,,23.081253,113.328349,海珠区
id100412754,,23.095611,113.272257,海珠区
id101488702,,23.09487246,113.2727256,海珠区
id101520850,,23.127921,113.253285,荔湾区
id101937385,,23.118147,113.326413,天河区
id101939697,,23.117563,113.32588,天河区
id101939721,,23.117632,113.326098,天河区
id102090136,,23.129141,113.241543,荔湾区
id102098095,,23.173462,113.255135,白云区
id102103531,,23.14162714,113.3199836,天河区
id102120749,,23.104038,113.320272,海珠区
id102200163,,23.132424,113.327212,天河区
id102201200,,23.11887648,113.3240169,天河区
id102326151,,23.173554,113.266483,白云区
id102326582,,23.119487,113.27003,越秀区
id102340291,,23.126815,113.312507,越秀区
id102346449,,23.140647,113.319242,天河区
id102473182,,23.12331867,113.2676058,越秀区
id102506663,,23.115433,113.330216,天河区
id102764700,,23.13560151,113.3370245,天河区
id103009225,,23.120879,113.332763,天河区
id103668151,,23.129122,113.310159,越秀区
id103674492,,23.086638,113.270377,海珠区
id104707464,,23.128346,113.254605,荔湾区
id107742795,,23.123355,113.268393,越秀区
id107756867,,23.106069,113.268934,海珠区
id108108036,,23.130508,113.326178,天河区
id108305409,,23.129227,113.323232,天河区
id110266597,,23.132257,113.327076,天河区
id110324287,,23.130852,113.3336706,天河区
id110385810,,23.117797,113.328306,天河区
id110411684,,23.124235,113.397611,天河区
id11555043,,23.10009,113.32206,海珠区
id13467608,,23.115305,113.340246,天河区
id13706878,地铁,23.121811,113.267343,越秀区
id13786811,塘西公交站车次：51路; 302a路; 302a路时代倾城班车; 788路; 番17路; 番30路; 番52路; 番52路华南新城班车; 番53路; 番58路; 番70路; 番75b路; 番75路; 番75路班车; 番禺56路; 番禺56路夜班; 公交地铁接驳专线8路; 节假日公交专线11路,23.012498,113.34017,番禺区
id13808705,地铁一、二号线公元前站,23.12029,113.26542,越秀区
id13917869,,23.104481,113.314826,海珠区
id17181998,,23.173549,113.255733,白云区
id17211489,,23.13197,113.322912,天河区
id17856326,地铁三号线同和站D出口，转乘832，126，833，862，864，804路公交车到 省旅游学校下车即可,23.207336,113.322677,白云区
id18004914,地铁越秀公园站B2出口,23.142235,113.260595,越秀区
id18075311,,23.01288,113.31492,番禺区
id18093484,,23.172224,113.258907,白云区
id18125156,527、250、244、273等公交线路宝岗大道中站,23.099042,113.26433,海珠区
id18230700,,23.10855,113.277387,海珠区
id18343762,,23.118268,113.329948,天河区
id18496765,,23.137805,113.286111,越秀区
id18592876,公交站：纸厂。可公交搭乘9路、29路、31路、59路、75路、79路、79a路、202路、220路、230路、288路、288a路、309路、309a路、469路、521路、544路、583路、963路等抵达,23.077543,113.271096,海珠区
id18705098,地铁江南西站C出口附近,23.097245,113.27682,海珠区
id18769937,,23.132633,113.326227,天河区
id19185145,,23.132771,113.285031,越秀区
id19202467,,23.120823,113.330972,天河区
id19378025,猎德地铁站d出口，步行五分钟即可！,23.12096,113.331291,天河区
id1945300,路线 ①海珠广场地铁站B2/B3出口 ②起义路口站 3路; 10路; 14路; 82路; 86路; 101路; 104路; 106路; 183路; 190路; 253路; ③海珠广场(起义路) 站 88路; 190路; 519路 ④一德东站 8路,23.11691,113.264659,越秀区
id19574807,,23.128415,113.274637,越秀区
id19682598,番53终点站万达广场总站，番75B,23.00724,113.34894,番禺区
id19701155,南方报业站,23.125453,113.316251,天河区
id2006572,地铁1号线东山口e出口，左走500m左右到,23.122485,113.294911,越秀区
id2048416,地铁三号线琶洲站,23.102569,113.37003,海珠区
id20673597,#VALUE!,23.126041,113.23944,荔湾区
id20716199,,23.10704424,113.340302,海珠区
id2077297,地铁一、三号线体育西站D出口,23.1322,113.322659,天河区
id20840498,79号公交车终点站可直接到达酒楼,23.04896,113.294653,番禺区
id20850365,,23.133956,113.326864,天河区
id21020369,江南新地K出口；地铁2号线江南西站，公交车270、273、186、220、489、59路,23.091722,113.270355,海珠区
id21121324,,23.131053,113.332644,天河区
id21173229,江南西地铁站A出口直行 天池冲印店转右50米,23.093964,113.26831,海珠区
id21271323,公交车到达道路或者长城大厦（40、44、183、222、225、811、813），地铁到东山口站E或F出口，步行10分钟；自驾车从达道路或寺右新马路进入，转烟墩路方向直入150米。,23.12028,113.299974,越秀区
id22080740,,23.13018,113.329745,天河区
id22083535,塘步东:公汽 17,23.011055,113.341714,番禺区
id22143690,,23.12062741,113.2654326,越秀区
id22179290,琶洲地铁站A出口,23.10258,113.37012,海珠区
id22521597,,23.181916,113.321328,白云区
id22658812,地铁5号线,23.135049,113.288104,越秀区
id22789796,,23.102618,113.369668,海珠区
id22987445,猎德地铁站D出口,23.12087,113.332417,天河区
id23074003,,23.141906,113.249891,荔湾区
id23076961,江南西地铁站A出口区,23.093572,113.271011,海珠区
id23094029,,23.09148,113.27843,海珠区
id23295906,,23.124215,113.344121,天河区
id23437713,,23.074013,113.273747,海珠区
id23517663,,23.1427,113.32345,天河区
id23524176,,23.145362,113.326799,天河区
id23616675,,23.129302,113.322219,天河区
id23902010,,23.135122,113.3443,天河区
id23903582,,23.100734,113.291943,海珠区
id23917626,,23.133629,113.287921,越秀区
id24063758,广州东站，G出口过马路对面即可,23.14863,113.32321,天河区
id24763606,北京路地铁A/B 出口,23.120003,113.269934,越秀区
id2491024,地铁站：黄沙站（一号线）公交：市中医院，六二三路，文化公园1，9，75，57，181，101，102，103，105，106，110，123，81，209，217，270，208……,23.1058,113.24824,荔湾区
id24948349,,23.17599,113.25629,白云区
id24987365,,22.971012,113.368917,番禺区
id24997849,,23.095839,113.272327,海珠区
id2509105,121、277、52、64到金宇花园站转搭417村巴到沙洛村桥头,23.056824,113.260625,荔湾区
id2518006,地铁一号线陈家祠站,23.131175,113.24853,荔湾区
id27058682,,23.10262,113.30778,海珠区
id27139323,公交车：车陂站 地铁4号线车陂站C出口,23.124174,113.39385,天河区
id27162190,,23.12606,113.27136,越秀区
id27162590,五月花广场 中山五路站,23.125766,113.266781,越秀区
id27191608,地铁长寿路地铁站D2出口，541路公交车总站，226路公交车总站，15路公交车逢源路站，74路公交车逢源路站，61路公交车逢源路站,23.118619,113.239996,荔湾区
id27339089,,23.035747,113.275487,番禺区
id27478619,地铁一号线烈士陵园站中华广场3楼,23.12653,113.282808,越秀区
id2783896,地铁三号线（体育西-机场南）到地铁林和西站B出入口下、珠江新城APM系统（坐2站）到地铁林和西站B出入口下公交：136路到时代广场站1下、540路到时代广场站2下,23.140198,113.319784,天河区
id2873767,,23.137693,113.286072,越秀区
id3126163,195短线 高峰快线15 45路 122 130 133 136 183 191 209 233 240 256 280 504 547 883 883 旅游1线夜17 地铁林和西路B出口,23.140487,113.320985,天河区
id32347013,967/968公交车总站,23.101435,113.290771,海珠区
id32477062,,23.117368,113.312285,天河区
id32492044,,23.098936,113.321183,海珠区
id32501719,,23.120588,113.327246,天河区
id32519606,,23.21793,113.262753,白云区
id32526514,,23.132054,113.332242,天河区
id32572627,远景路公交站旁,23.172293,113.255726,白云区
id32592243,,23.120791,113.334326,天河区
id3284389,542 35 208 184 264等 海印桥南站,23.098436,113.285511,海珠区
id32859760,,23.130279,113.325927,天河区
id32869615,,23.094619,113.269834,海珠区
id33588436,地铁2号线江夏站，B出口搭乘绿色便民车到达江夏大塘大街COCO大院下车；公交36、126、127、244、810等到达江夏（安华装饰城）站下车经江夏牌坊进入江夏大塘大街,23.207168,113.273281,白云区
id3500059,,23.140692,113.28513,越秀区
id38061547,地铁三号线/五号线至珠江新城地铁站，从富力盈凯广场出口转至大楼南门,23.118573,113.321592,天河区
id38061576,地铁三号线/五号线至珠江新城地铁站，走富力盈凯广场出口，至大楼南门。,23.118487,113.322013,天河区
id38212967,有轨电车“琶醍站”下车即到，B7“阅江西路中站”距离450,23.106783,113.339717,海珠区
id38892487,番17，番30，番53，番56， 番58，番70，番75，52路，302A，788路，节假日公交专线11，地铁公交接驳8号线 长线 短线,23.01244,113.34515,番禺区
